Year,FII_Net_Flow_Cr,Flow_Type,Nifty_Year_End,Nifty_Change_Pct,DII_Net_Flow_Cr,USD_INR,US_10Y_Yield,Trigger_Event
2008,-47706,Outflow,2959,-52.4,18000,48.6,2.52,Lehman Brothers Collapse
2009,83424,Inflow,5201,75.8,-12000,46.5,3.73,Global Recovery Rally
2010,110221,Inflow,6134,17.9,-25000,44.8,3.39,Emerging Market Boom
2011,-2714,Outflow,4624,-24.6,32000,53.1,1.97,European Debt Crisis
2012,68600,Inflow,5905,27.7,-18000,54.8,1.91,Draghi Whatever It Takes
2013,79709,Inflow,6304,6.8,-20000,61.9,2.86,Modi Wave + Fed Taper Partial
2014,111333,Inflow,8282,31.4,-38000,63.3,1.88,Modi Election Win
2015,-14172,Outflow,7946,-4.1,55000,66.2,2.09,China Slowdown + Fed Rate Hike
2016,-23078,Outflow,8186,3.0,60000,67.9,2.43,Demonetization + Trump Win
2017,119036,Inflow,10531,28.6,-22000,64.0,2.58,Global Synchronized Growth
2018,-33014,Outflow,10863,3.1,75000,69.8,2.71,US-China Trade War + IL&FS
2019,83453,Inflow,12168,12.0,-10000,71.3,1.76,Fed Rate Cut Cycle Begins
2020,170262,Inflow,13981,14.9,25000,73.1,1.08,COVID Crash + Global QE Tsunami
2021,25000,Inflow,17354,24.1,80000,74.3,1.76,Vaccine Rally + Inflation Fears
2022,-121439,Outflow,18105,4.3,224000,82.7,3.53,Fed Hikes 425bps — 40yr Record
2023,171000,Inflow,21731,20.0,178000,83.2,4.06,India Growth Optimism
2024,427,Near Flat,23644,8.8,510000,84.8,4.63,High Valuations + China Stimulus
2025,-166286,Outflow,23500,-0.6,580000,85.6,4.21,High US Yields + Strong Dollar
2026,-240751,Outflow,23800,1.2,301668,95.0,4.52,Iran-US War + Tariff Uncertainty
