Month_Year,FII_Net_Cr,Nifty_Close,Event_Tag
Mar-2020,-61973,8597,COVID Panic — Worst Single Month Ever
Jan-2022,-34000,17339,Fed Pivot Signal — Rate Hike Fear Begins
Feb-2022,-35500,16793,Russia-Ukraine War Starts
Mar-2022,-41123,17465,Fed First Rate Hike — 25bps
Jun-2022,-50203,15780,Fed Hikes 75bps — Biggest Since 1994
Oct-2024,-94017,24205,Largest Single Month Outflow Ever on Record
Nov-2024,-21781,24131,Trump Election — Dollar Strengthens
Jan-2025,-78027,23508,Worst Month of 2025 — Dollar Surge
Feb-2025,-34574,22124,Rate Cut Hopes Fade
Mar-2025,-3973,23519,DXY Peaks — EM Selloff Continues
Apr-2026,-122540,22331,Iran-US War — Record Monthly Exodus
